demulcent,dəˈməlsənt
coadjutor,koʊˈædʒudər
plangency,ˈplændʒənsi
panettone,ˌpænəˈtoʊni
thylacine,ˈθaɪləˌsaɪn
chiffonade,ʃɪfəˈnɑd
apocryphal,əˈpɑkrəf(ə)l
tmesis,təˈmisəs
haricot,ˈhɛrəˌkoʊ
tamarack,ˈtæm(ə)ˌræk
clerihew,ˈklɛrəˌhju
Luddite,ˈləˌdaɪt
wickiup,ˈwɪkiˌəp
obloquy,ˈɑbləkwi
katakana,ˌkɑdəˈkɑnə
apoplexy,ˈæpəˌplɛksi
calefacient,ˌkæləˈfeɪʃ(ə)nt
dhole,doʊl
Parmentier,ˈpɑrmən(t)ər
verdure,ˈvərdʒər
obdurate,ˈɑbd(j)ərət
impugn,ɪmˈpjun
nainsook,ˈneɪnˌsʊk
querida,kɛˈridə
Glaswegian,ɡlæzˈwidʒən
putsch,pʊtʃ
denouement,ˌdeɪnuˈmɑ̃
hortatory,ˈhɔrdəˌtɔri
maquette,mæˈkɛt
autophagy,ɔˈtɑfədʒi
Airedale,ˈɛrˌdeɪl
malleolus ,məˈliələs
zazen,zɑˈzɛn
rubato,ruˈbɑdoʊ
mortadella,ˌmɔrdəˈdɛlə
aioli,eɪˈoʊli
toque,toʊk
ormolu,ˈɔrməˌlu
spirulina,ˌspaɪrəˈlinə
flagellum,ˌflæˈdʒɛləm
hemorrhage,ˈhɛm(ə)rɪdʒ
pylorus,paɪˈlɔrəs
trouvaille,truˈvaɪ
panegyric,ˌpænəˈdʒɪrɪk
tapetum,təˈpidəm
erythroblast,əˈrɪθrəˌblæst
kalimba,kəˈlɪmbə
glazier,ˈɡleɪʒər
golem,ˈɡoʊləm
maillot,maɪˈ(j)oʊ
illative,ˈɪlədɪv
kinesiology,kəˌnisiˈɑlədʒi
sirenian,saɪˈriniən
krewe,kru
epenthesis,əˈpɛnθəsəs
betony,ˈbɛtəni
exogenous,ɪɡˈzɑdʒənəs
nescience,ˈnɛʃiəns
toque,toʊk
hinoki,hɪˈnoʊki
betise,bɛˈtiz
blatherskite,ˈblæðərˌskaɪt
avuncular,əˈvəŋkjələr
nonpareil,ˌnɑnpəˈrɛl
transience,ˈtræn(t)ʃəns
guayabera,ˌɡaɪəˈbɛrə
consigliere,ˌkɔnsəliˈɛri
realgar,riˈælɡər
adiabatic,ˌeɪˌdaɪəˈbædɪk
rubato,ruˈbɑdoʊ
pointelle,pɔɪnˈtɛl
anaphylaxis,ˌænəfəˈlæksəs
camembert,ˈkæməmˌbɛr
vinaigrette,ˌvɪnəˈɡrɛt
maquillage,ˌmɑkiˈjɑʒ
bobolink,ˈbɑbəˌlɪŋk
ecchymosis,ˌɛkəˈmoʊsəs
mortadella,ˌmɔrdəˈdɛlə
diluent,ˈdɪljəwənt
croquembouche,ˌkrɑkəmˈbuʃ
croquembouche,ˌkrɑkəmˈbuʃ
spirulina,ˌspaɪrəˈlinə
andouille,ˌɑnˈdui
Naugahyde,ˈnɔɡəˌhaɪd
kobold,ˈkoʊˌbɔld
eleemosynary,ˌɛləˈmɑsnəri
otiose,ˈoʊdiˌoʊz
croquembouche,ˌkrɑkəmˈbuʃ
spirulina,ˌspaɪrəˈlinə
andouille,ˌɑnˈdui
kobold,ˈkoʊˌbɔld
eleemosynary,ˌɛləˈmɑsnəri
croquembouche,ˌkrɑkəmˈbuʃ
spirulina,ˌspaɪrəˈlinə
andouille,ˌɑnˈdui
Naugahyde,ˈnɔɡəˌhaɪd
kobold,ˈkoʊˌbɔld
eleemosynary,ˌɛləˈmɑsnəri
otiose,ˈoʊdiˌoʊz
force,fɔrs
